productID,pharmaID,batchCode,medicineName,composition,description,category,prescriptionRequired,manufacturer,quantity,mrpWithDiscount,price,pricePerUnit,unitsAvailable,threshold,storageCondition,manufacturedDate,expiryDate,status,lastUpdated
PRD0128,PH001,,Catheter,Catheter,,Surgical & Consumables,,Mankind,Standard Pack,,2491,47,,,,24-05-2025,20-08-2027,AVAILABLE,27-01-2026
PRD0129,PH001,,Surgical Drapes,Surgical Drapes,,Surgical & Consumables,,Sun Pharma,Standard Pack,,429,11,,,,09-07-2025,30-06-2027,AVAILABLE,27-01-2026
PRD0130,PH001,,Sterile Pads,Sterile Pads,,Surgical & Consumables,,Sun Pharma,Standard Pack,,3916,22,,,,16-12-2024,07-10-2025,EXPIRED,27-01-2026
PRD0131,PH001,,Wound Dressing,Wound Dressing,,Surgical & Consumables,,Dr Reddyâ€™s,Standard Pack,,2176,17,,,,10-02-2025,24-08-2026,AVAILABLE,27-01-2026
PRD0132,PH001,DETT-1226,Dettol Original Instant Hand Sanitizer 50ml,"Alcohol Denat,Water,Propylene Glycol,Tetrahydroxypropyl Ethylenediamine,Fragrance,Limonene","An alcohol-based sanitizer that kills germs without water, keeps hands clean, soft, and non-sticky, and helps prevent germ spread. Ideal for quick hygiene on the go.",Personal Care & Wellness,No,Reckitt Benckiser (India) Pvt. Ltd.,1 bottle of 50 ml Sanitizer,,34,34,5,1,NA,25-04-2024,09-12-2026,AVAILABLE,27-01-2026
PRD0133,PH001,HIMA-0227,Himalaya Herbals Purifying Neem Face Wash | For Acne & Pimple Relief | Paraben and Soap Free Face Care Product 100ml,"Water (Aqua), Ammonium Lauryl Sulfate, Melia Azadirachta (Neem) Leaf Extract, Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Curcuma Longa (Turmeric) Root Extract, Sodium Hydroxide, Phenoxyethanol, Fragrance, Methylchloroisothiazolinone, Methylisothiazolinone, Sodium Metabisulfite, Citric Acid, Disodium EDTA, Tocopheryl Acetate, FD&C Yellow No. 5, FD&C Blue No. 1","Encompasses antibacterial and anti-inflammatory properties,Provides relief in the case of acne, boils, and ulcers, Assists in improving general skin health and immunity",Personal Care & Wellness,No,Himalaya Wellness Company,1 tube of 50 ml Face Wash,,87,87,4,1,NA,15-03-2025,26-02-2027,AVAILABLE,27-01-2026
PRD0134,PH001,NIVE-1226,Nivea Body Milk Nourishing Lotion 120ml,"Aqua, Paraffinum Liquidum, C15-19 Alkane, Alcohol Denat. (3.66%), Glycerin, Cetearyl Alcohol, Glyceryl Stearate Citrate, Dimethicone, Phenoxyethanol, Glyceryl Glucoside, Methylparaben, Carbomer, Prunus Amygdalus Dulcis Oil, Sodium Hydroxide, Maris Sal, Linalool, Citronellol, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Limonene, Benzyl Alcohol, Benzyl Salicylate, Perfume","Provides long-lasting softness and protection. It refreshes skin as its non-greasy formula quickly melts into your skin, skin compatibility dermatologically approved.",Personal Care & Wellness,No,Nivea India Pvt Ltd,1 bottle of 120 ml Lotion,,113,113,5,1,NA,11-08-2025,14-12-2026,AVAILABLE,27-01-2026
PRD0135,PH001,HEAD-0126,Head & Shoulders Smooth & Silky Anti-Dandruff Shampoo | For Hair Care,"Water, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Glycol Distearate, Zinc Carbonate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Dimethicone, Fragrance, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Magnesium Carbonate Hydroxide, Methylchloroisothiazolinone, Methylisothiazolinone, Blue 1, Yellow 5.","Head & Shoulders Anti-Dandruff Shampoo | For Hair Care is specially formulated to help manage dandruff and prevent it from reoccurring. It leaves the hair feeling and smelling fresh. Cooling menthol and our dandruff-managing ingredients leave your hair clean and dandruff-free, with a fresh scent that lasts. Gentle formula suitable for everyday use. This shampoo provides effective hair care.",Personal Care & Wellness,No,Procter & Gamble Hygiene and Health Care Ltd,1 bottle of 180 ml Shampoo,,184,184,2,1,NA,03-04-2025,20-01-2026,AVAILABLE,27-01-2026
PRD0136,PH001,,Parachute 100% Pure Coconut | Hair Care Oil,Coconut Oil,"A pure, single-ingredient coconut oil that nourishes the scalp and hair, helps retain moisture, and improves hair softness, strength, and shine. It is 5-stage purified and quality-tested for safe daily use.",Personal Care & Wellness,No,Marico Limited,1 bottle of 300 ml Oil,,200,17,6,1,NA,20-10-2024,10-02-2027,AVAILABLE,27-01-2026
PRD0137,PH001,,Colgate Toothpase,Toothpaste,,Personal Care & Wellness,No,Sun Pharma,Standard Pack,,874,19,1,1,NA,04-04-2025,06-10-2026,AVAILABLE,27-01-2026
PRD0138,PH001,,Listerine,Mouthwash,,Personal Care & Wellness,No,Abbott,Standard Pack,,689,13,5,1,NA,01-12-2024,31-12-2025,EXPIRED,27-01-2026
PRD0139,PH001,,Baby Lotion,Baby Lotion,,Personal Care & Wellness,No,Mankind,Standard Pack,,7320,40,1,1,NA,18-12-2024,05-12-2026,AVAILABLE,27-01-2026
PRD0140,PH001,,Diapers,Diapers,,Personal Care & Wellness,No,Cipla,Standard Pack,,2304,32,9,1,NA,25-04-2025,01-11-2026,AVAILABLE,27-01-2026
PRD0141,PH001,,Wet Wipes,Wet Wipes,,Personal Care & Wellness,No,Sun Pharma,Standard Pack,,3036,44,5,1,NA,09-10-2025,05-04-2027,AVAILABLE,27-01-2026
PRD0142,PH001,,Sunscreen,Sunscreen,,Personal Care & Wellness,No,Mankind,Standard Pack,,6816,48,6,1,NA,02-05-2024,31-10-2024,AVAILABLE,27-01-2026
PRD0143,PH001,,Park Avenue,Deodorant,,Personal Care & Wellness,No,Mankind,Standard Pack,,5200,50,8,1,NA,20-11-2024,18-11-2025,AVAILABLE,27-01-2026
PRD0144,PH001,,Face Cream,Face Cream,,Personal Care & Wellness,No,Sun Pharma,Standard Pack,,5203,43,2,1,NA,30-08-2025,13-11-2027,AVAILABLE,27-01-2026
PRD0145,PH001,,Lip Balm,Lip Balm,,Personal Care & Wellness,No,Cipla,Standard Pack,,3700,20,9,1,NA,02-04-2025,14-12-2025,AVAILABLE,27-01-2026
PRD0146,PH001,,Dove Soap,Body Soap,,Personal Care & Wellness,No,Abbott,Standard Pack,,3145,17,3,1,NA,23-08-2024,18-11-2025,AVAILABLE,27-01-2026
PRD0147,PH001,,Dettol Soap,,,Personal Care & Wellness,No,,,,,,8,1,NA,23-09-2024,22-09-2026,AVAILABLE,27-01-2026
PRD0148,PH001,,Dove Shampoo,,,Personal Care & Wellness,No,,,,,,3,1,NA,23-10-2024,22-10-2026,AVAILABLE,27-01-2026
PRD0149,PH001,,Dabur Red Toothpaste,,,Personal Care & Wellness,No,,,,,,7,1,NA,24-11-2024,23-11-2026,AVAILABLE,27-01-2026
PRD0150,PH001,,Lux Soap,,,Personal Care & Wellness,No,,,,,,3,1,NA,03-12-2024,02-12-2026,OUT_OF_STOCK,27-01-2026
PRD0151,PH001,,Santoor Soap,,,Personal Care & Wellness,No,,,,,,4,1,NA,02-01-2025,01-01-2027,AVAILABLE,27-01-2026
PRD0152,PH001,,Lifeboy Soap,,,Personal Care & Wellness,No,,,,,,2,1,NA,12-02-2025,11-02-2027,AVAILABLE,27-01-2026
PRD0153,PH001,,Meera Shampoo,,,Personal Care & Wellness,No,,,,,,7,1,NA,30-03-2025,29-03-2027,AVAILABLE,27-01-2026
PRD0154,PH001,,Citadel Body Lotion,,,Personal Care & Wellness,No,,,,,,3,1,NA,25-04-2025,24-04-2027,AVAILABLE,27-01-2026
PRD0155,PH001,,Cadbury Dairy Milk ,Chocolate Bar,,FMCG,No,,,,,,5,1,NA,09-05-2025,08-05-2027,AVAILABLE,27-01-2026
PRD0156,PH001,,Munch Choclate,Chocolate Wafer,,FMCG,No,,,,,,3,1,NA,23-06-2025,22-06-2027,AVAILABLE,27-01-2026
PRD0157,PH001,,Oreo Biscuit,Biscuit,,FMCG,No,,,,,,4,1,NA,18-07-2025,17-07-2027,AVAILABLE,27-01-2026
PRD0158,PH001,,Good Day Biscuit,Biscuit,,FMCG,No,,,,,,3,1,NA,01-08-2025,31-07-2027,AVAILABLE,27-01-2026
PRD0159,PH001,,Horlicks,"Malted barley (extracted solids) 66.7%, Wheat flour, Milk solids (14%), Wheat gluten, Vitamins A, B1, B2, B6, B12, C, E, D, Iron, Calcium, Magnesium, Phosphorus, Potassium, Niacin, Biotin, Folic acid, Pantothenic acid, Selenium, Copper, Zinc, Protein isolate, Iodised salt, Sugar, Soy protein isolate, Acidity regulator",,FMCG,No,,,,,,2,1,NA,27-09-2025,26-09-2027,OUT_OF_STOCK,27-01-2026
PRD0160,PH001,,Bournvita,,,FMCG,No,,,,,,2,1,NA,11-10-2025,10-10-2027,AVAILABLE,27-01-2026
